AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1160001090,CITY OF LONDON,0,531350,181580,1,3 Pedestrian,1 Male,25-59,54,1,3 Slight,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
1160002980,CITY OF LONDON,0,532780,180410,1,1 Driver/Rider,1 Male,25-59,46,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160006347,CITY OF LONDON,0,531400,181570,3,2 Passenger,2 Female,60+,61,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160006347,CITY OF LONDON,0,531400,181570,2,1 Driver/Rider,1 Male,60+,69,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160006347,CITY OF LONDON,0,531400,181570,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160006912,CITY OF LONDON,0,531290,181570,1,2 Passenger,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1160008508,CITY OF LONDON,0,533729,181264,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160012399,CITY OF LONDON,0,533730,181260,1,3 Pedestrian,2 Female,25-59,46,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1160024444,CITY OF LONDON,0,531390,181560,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160026861,CITY OF LONDON,0,532100,181830,2,2 Passenger,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160026861,CITY OF LONDON,0,532100,181830,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160030636,CITY OF LONDON,0,533390,181920,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160041353,CITY OF LONDON,0,532520,181630,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160038098,CITY OF LONDON,0,532730,181160,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160038098,CITY OF LONDON,0,532730,181160,2,3 Pedestrian,2 Female,16-24,21,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160038379,CITY OF LONDON,0,531390,180820,1,3 Pedestrian,1 Male,16-24,23,1,2 Serious,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
48160038810,CITY OF LONDON,0,532170,181450,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160038984,CITY OF LONDON,0,533230,181150,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160038993,CITY OF LONDON,0,531790,181410,2,2 Passenger,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160038993,CITY OF LONDON,0,531790,181410,3,2 Passenger,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160038993,CITY OF LONDON,0,531790,181410,4,2 Passenger,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160038993,CITY OF LONDON,0,531790,181410,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48160039006,CITY OF LONDON,0,533280,181600,1,3 Pedestrian,1 Male,16-24,22,1,3 Slight,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
48160039033,CITY OF LONDON,0,533150,181340,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160039033,CITY OF LONDON,0,533150,181340,2,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160039908,CITY OF LONDON,0,533760,181280,1,3 Pedestrian,2 Female,25-59,44,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160039915,CITY OF LONDON,0,532140,181300,1,2 Passenger,2 Female,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48160040078,CITY OF LONDON,0,533420,181060,1,3 Pedestrian,2 Female,25-59,44,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48160040577,CITY OF LONDON,0,533220,180950,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48160040705,CITY OF LONDON,0,533290,181590,1,2 Passenger,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48160040723,CITY OF LONDON,0,533050,181240,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48160042650,CITY OF LONDON,0,533340,181670,1,3 Pedestrian,1 Male,60+,62,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48160043261,CITY OF LONDON,0,531570,181580,1,1 Driver/Rider,1 Male,16-24,24,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160043436,CITY OF LONDON,0,531670,180940,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48160043816,CITY OF LONDON,0,532860,181510,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
